food_id,food_name
388,느타리버섯전
389,표고버섯전
390,버섯들깨탕
391,버섯잡채
392,버섯무침
393,새송이버섯구이
394,버섯전
395,버섯구이
396,새송이버섯장조림
397,느타리버섯무침
398,버섯밥
399,새송이버섯전
400,표고버섯밥
401,버섯샐러드
402,새송이버섯조림
403,팽이버섯볶음
404,버섯된장찌개
405,버섯장아찌
406,버섯탕수
407,장조림
408,소세지야채볶음
409,도토리묵무침
410,오뎅볶음
411,소세지볶음
412,매운탕
413,참치전
414,충무김밥
415,간장떡볶이
416,참치김밥
417,송편
418,마약김밥
419,치즈떡볶이
420,짜장떡볶이
421,누룽지
422,배깍두기
423,파인애플볶음밥
424,매실장아찌
425,달걀찜
426,치즈계란말이
427,계란탕
428,구운계란
429,에그샌드위치
430,계란토스트
431,소갈비찜
432,소고기볶음
433,소고기덮밥
434,소고기말이
435,육전
436,LA갈비
437,소고기국
438,소고기구이
439,차돌박이숙주볶음
440,육회
441,불고기전골
442,돼지고기장조림
443,돼지고기볶음
444,돼지불고기
445,보쌈
446,등갈비찜
447,등갈비김치찜
448,삼겹살
449,돼지고기수육
450,돼지고기구이
451,돼지고기김치찜
452,오삼불고기
453,돼지고기두루치기
454,목살스테이크
455,삼겹살볶음
456,돈까스덮밥
457,동파육
458,닭강정
459,닭백숙
460,닭죽
461,안동찜닭
462,닭구이
463,닭다리구이
464,닭도리탕
465,치킨마요덮밥
466,닭볶음
467,닭봉구이
468,백숙
469,닭발
470,닭가슴살볶음
471,닭튀김
472,닭찜
473,깐풍기
474,닭칼국수
475,닭날개구이
476,닭조림
477,롤
478,소고기죽
479,야채죽
480,타락죽
481,감자죽
482,양배추죽
483,호박죽
484,버섯죽
485,고구마죽
486,롤샌드위치
487,누드김밥
488,계란말이김밥
489,어묵김밥
490,삼각김밥
491,삼겹살김밥
492,참치샌드위치
493,밥버거
494,계란김밥
495,소고기김밥
496,참치주먹밥
497,크래미유부초밥
498,모닝빵샌드위치
499,소세지김밥
500,치즈김밥
501,단무지무침
502,닭똥집볶음
503,꼬치구이
504,해물파전
505,파전
506,로제파스타
507,장어구이
508,전복삼계탕
509,굴밥
510,동태전
511,산적
512,꼬치전
513,깻잎전
514,김치만두
515,모듬전
516,탕국
517,깐풍만두
518,어묵국수
519,족발
520,된장라면
521,볶음면
522,야끼소바
523,콩나물국밥
524,콩나물해장국
525,해장국
526,김치콩나물국
527,황태콩나물국
528,해장라면
529,선지국
530,황태콩나물해장국
531,굴국밥
532,김치죽
533,짬뽕라면
534,황태무국
535,김치콩나물국밥
536,동태탕
537,대구지리
538,두부말이
539,석박지
540,지짐이
541,콩장
542,톳두부무침
543,소세지
544,스테이크샌드위치
545,치즈스파게티
546,카레덮밥
547,카스타드
548,펜네
549,프라이
550,햄버그
551,팥빵
552,롤빵
553,불고기베이크
554,쉬폰케이크
555,파운드
556,고구마케이크
557,겨자채
558,도토리묵샐러드
559,또띠아롤
560,사라다
561,시저샐러드
562,오이냉채
563,채소샐러드
564,호박전
565,부침개
566,배추전
567,감자채전
568,야채전
569,연근전
570,새우전
571,김치부침개
572,김치찜
573,깻잎찜
574,꽈리고추찜
575,해물찜
576,오징어순대
577,고등어김치찜
578,고등어찜
579,꽃게찜
580,콩나물찜
581,삼겹살찜
582,전자렌지계란찜
583,도넛
584,고로케
585,오징어튀김
586,가지튀김
587,미니핫도그
588,김말이튀김
589,탕수
590,감자크로켓
591,양파장아찌
592,오이피클
593,깻잎장아찌
594,깻잎김치
595,마늘장아찌
596,고추장아찌
597,마늘쫑장아찌
598,미역오이냉국
599,꽁치조림
600,알감자조림
601,무조림
602,가자미조림
603,고등어무조림
604,어묵조림
605,메추리알조림
606,멸치조림
607,꽈리고추조림
608,달걀장조림
609,삼겹살조림
610,연어초밥
611,물회
612,연어덮밥
613,회
614,전복회
615,회덮밥
616,굴회
617,참치회덮밥
618,초밥케이크
619,멍게
620,연어롤
621,지라시스시
622,계란초밥
623,광어
624,굴
625,사시미
626,삼합
627,새우초밥
628,연어말이
629,돼지고기보쌈
630,삼겹살수육
631,김치말이국수
632,냉국수
633,두부콩국수
634,드레싱누들
635,메밀소바
636,감자샐러드샌드위치
637,매쉬드포테이토
638,양배추쌈
639,쪽파강회
640,오징어숙회
641,브로콜리
642,문어숙회
643,두릅숙회
644,미나리강회
645,파강회
646,두릅초회
647,문어초회
648,샤브샤브
649,오징어샐러드
650,가지무침
651,무말랭이무침
652,시금치나물
653,노각무침
654,부추무침
655,냉이무침
656,숙주나물무침
657,오징어초무침
658,참나물무침
659,마늘쫑무침
660,미나리무침
661,꼬막비빔밥
662,간장비빔국수
663,비빔당면
664,멍게비빔밥
665,비빔냉면
666,비빔라면
667,나물비빔밥
668,콩나물비빔밥
669,참치비빔밥
670,열무비빔밥
671,새싹비빔밥
672,참치마요덮밥
673,막국수
674,비빔칼국수
675,장조림버터비빔밥
676,깍두기
677,오이소박이
678,배추겉절이
679,강된장
680,파김치
681,봄동겉절이
682,겉절이
683,열무김치
684,물김치
685,오이지
686,상추겉절이
687,동치미
688,열무물김치
689,배추김치
690,간장게장
691,오이김치
692,약고추장
693,나박김치
694,무김치
695,부추김치
696,쪽파김치
697,부추겉절이
698,참치쌈장
699,총각김치
700,백김치
701,양배추김치
